AAA,Anaa
AND,Anderson
ANE,Angers-Marce 
ANF,Cerro Moreno 
ANG,Brie-Champniers
ANH,Anuha Island Resort
ANI,Aniak 
ANJ,Zanaga
ANK,Etimesgut
ANL,Andulo
ANM,Antsirabato
ANN,Annette Island
ANO,Angoche
ANP,Lee
ANQ,Tri-State Steuben County
ANR,Antwerp 
ANS,Andahuaylas
ANT,St Anton
ANU,V.C. Bird 
ANV,Anvik 
ANW,Ainsworth
ANX,Andenes 
ANY,Anthony
ANZ,Angus Downs
AOA,Aroa
AOB,Annanberg
AOC,Altenburg Nobitz
AOD,Abou Deia
AOE,Anadolu University
AOG,Anshan Teng'ao 
AOH,Allen County
AOI,Ancona Falconara 
AOJ,Aomori 
AOK,Karpathos 
AOL,Paso De Los Libres
AOM,Adam 
AON,Arona
AOO,Altoona 
AOP,Alferez FAP Alfredo Vladimir Sara Bauer 
AOR,Sultan Abdul Halim 
AOS,Amook
AOT,Corrado Gex
AOU,Attopeu
APA,Centennial 
APB,Apolo
APC,Napa County
APE,San Juan Aposento
APF,Naples Municipal 
APG,Phillips AAF
APH,Camp A P Hill
API,Apiay
APJ,Ngari Burang 
APK,Apataki
APL,Nampula 
APN,Alpena County Regional 
APO,Apartado 
APP,Asapa
APQ,Arapiraca
APR,April River
APS,Anapolis
APT,Marion County
APU,Apucarana
APV,Apple Valley
APW,Faleolo 
APX,Arapongas
APY,Alto Parnaiba
APZ,Zapala
AQA,Araraquara
AQB,Quiche 
AQG,Anqing Tianzhushan 
AQI,Qaisumah 
AQJ,King Hussein 
AQM,Ariquemes
AQP,Rodriguez Ballon 
AQS,Saqani
AQY,Alyeska
ARA,Acadiana Regional
ARB,Municipal
ARC,Arctic Village
ARD,Alor Island 
ARE,Arecibo
ARF,Acaricuara
ARG,Walnut Ridge
ARH,Talagi 
ARI,Chacalluta 
ARJ,Arso
ARK,Arusha 
ARL,Arly
ARM,Armidale 
ARN,Stockholm 
ARO,Arboletas
ARP,Aragip
ARQ,Arauquita
ARR,Alto Rio Senguerr
ARS,Aragarcas
ART,Watertown 
ARU,Aracatuba 
ARV,Noble F. Lee
ARW,Arad
ARX,Asbury Park
ARY,Ararat
ARZ,N'zeto
ASA,Assab
ASB,Ashgabat 
ASC,Ascension
ASD,Andros Town
ASE,Aspen 
ASF,Astrakhan 
ASG,Ashburton
ASH,Boire Field
ASI,Saint Helena 
ASJ,Amami 
ASK,Yamoussoukro
ASL,Harrison County
ASM,Asmara 
ASN,Talladega
ASO,Asosa 
ASP,Alice Springs 
ASQ,Austin
ASR,Kayseri 
ASS,Arathusa Safari Lodge
AST,Astoria
ASU,Silvio Pettirossi 
ASV,Amboseli
ASW,Aswan 
ASX,Ashland
ASY,Ashley
ASZ,Asirim
ATA,Anta
ATB,Atbara
ATC,Arthur's Town
ATD,Atoifi
ATE,Antlers
ATF,Chachoan
ATG,Attock
ATH,Athènes 
ATI,Artigas
ATJ,Antsirabe
ATK,Atqasuk Edward Burnell Sr. Memorial 
ATL,Atlanta 
ATM,Altamira 
ATN,Namatanai
ATO,Ohio University
ATP,Airstrip
ATQ,Amristsar 
ATR,Mouakchott
ATS,Artesia
ATT,Atmautluak 
ATU,Casco Cove
ATV,Ati
ATW,Outagamie County Regional 
ATX,Atbasar
ATY,Watertown 
ATZ,Assiut 
AUA,Reina Beatrix 
AUB,Itauba 
AUC,Arauca 
AUD,Augustus Downs
AUE,Abu Rudeis
AUF,Auxerre Branches
AUG,Augusta 
AUH,Abu Dhabi 
AUI,Aua Island
AUJ,Ambunti
AUK,Alakanuk 
AUL,Aur Island
AUM,Austin
AUN,Auburn
AUO,Auburn-Opelika
AUP,Agaun
AUQ,Hiva Oa 
AUR,Aurillac 
AUS,Austin-Bergstrom 
AUT,Atauro
AUU,Aurukun Mission
AUV,Aumo
AUW,Municipal
AUX,Araguaina 
AUY,Aneityum
AUZ,Municipal 
AVA,An Shun/Huang Guo Shu 
AVB,Aviano
AVG,Auvergne
AVI,Maximo Gomez
AVK,Arvaikheer
AVL,Asheville Regional 
AVN,Avignon-Caumont 
AVO,Municipal
AVP,Wilkes-Barre/Scranton 
AVR,Alverca
AVU,Avu Avu
AVV,Avalon 
AVW,Avra Valley
AVX,Avalon Bay
AWA,Awassa
AWB,Awaba 
AWD,Aniwa
AWE,Alowe
AWK,Wake Island
AWM,Municipal
AWN,Alton Downs
AWP,Austral Downs 
AWR,Awar
AWZ,Ahwaz 
AXA,Clayton J. Lloyd 
AXB,Alexandria Bay
AXC,Aramac
AXD,Demokritos 
AXE,Xanxere
AXF,Alxa Left Banner
AXG,Algona
AXJ,Amakusa
AXK,Ataq
AXL,Alexandria
AXM,El Eden 
AXN,Alexandria
AXO,Bandar Udara Pantar
AXP,Springpoint 
AXR,Arutua 
AXS,Altus/Quartz Mountain Regional 
AXT,Akita 
AXU,Axum 
AXV,Neil Armstrong
AXX,Angel Fire
AYA,Ayapel
AYC,Ayacucho
AYD,Alroy Downs
AYE,AAF Heliport
AYG,Yaguara
AYI,Yari
AYJ,Maharishi Valmiki 
AYK,Arkalyk
AYL,Anthony Lagoon
AYM,Yas Island SPB
AYN,Anyang 
AYO,Ayolas
AYP,Yanamilla 
AYQ,Ayers Rock 
AYR,Ayr
AYS,Ware County
AYT,Antalya 
AYU,Aiyura
AYW,Ayawasi
AYX,Atalaya
AYY,Arugam Bay SPB
AYZ,Zahns
AZA,Phoenix-Mesa Gateway 
AZB,Amazon Bay
AZD,Yazd 
AZG,Apatzingan
AZH,Azamgarh 
AZI,Bateen
AZJ,Zhenjiang Dalu
AZL,Fazenda Tucunare 
AZN,Andizhan 
AZO,Kalamazoo Battle Creek 
AZP,Atizapan
AZR,Adrar 
AZS,Samani¡ El Catey
AZT,Zapatoca
AZZ,Ambriz
BAA,Bialla
BAB,Beale AFB
BAC,Barranca De Upia
BAD,Barksdale AFB
BAE,Barcelonnette
BAF,Barnes
BAG,Loakan
BAH,Bahrain 
BAI,Buenos Aires
BAJ,Bali
BAL,Batman 
BAM,Lander County
BAN,Basongo
BAO,Udorn
BAP,Baibara
BAQ,E Cortissoz 
BAR,Baker AAF
BAS,Balalae
BAT, Chafei Amsei
BAU,Bauru 
BAV,Baotou 
BAW,Biawonque
BAX,Barnaul Gherman Titov 
BAY,Baia Mare
BAZ,Barbelos
BBA,Teniente Vidal 
BBB,Benson Municipal 
BBC,Bay City
BBD,Curtis Field
BBF,Burlington
BBG,Butaritari
BBH,Barth
BBI,Biju Patnaik 
BBJ,Bitburg Air Base
BBK,Kasane 
BBL,Ballera 
BBM,Battambang
BBN,Bario 
BBO,Berbera
BBP,Bembridge
BBQ,Barbuda
BBR,Baillif
BBS,Blackbushe
BBT,Berberati
BBU,Baneasa
BBV,Hkg
BBW,Broken Bow
BBX,Wings Field
BBY,Bambari
BBZ,Zambezi
BCA,Baracoa
BCB,Virginia Tech
BCC,Bear Creek
BCD,Bacolod-Silay 
BCE,Bryce
BCF,Bouca
BCG,Bemichi
BCH,Cakung
BCI,Barcaldine 
BCJ,Baca Grande
BCK,Bolwarra
BCL,Barra Colorado
BCM,Bacau 
BCN,Barcelone
BCO,Jinka
BCP,Bambu
BCQ,Brack
BCR,Boca Do Acre
BCS,Southern Seaplane
BCT,Public
BCU,Bauchi
BCV,Belmopan
BCW,Benguera Island
BCX,Beloreck
BCY,Bulchi
BCZ,Bickerton Island
BDA,L.F. Wade 
BDB,Bundaberg 
BDC,Barra Do Corda
BDD,Badu Island
BDE,Baudette
BDF,Rinkenberger
BDG,Blanding
BDH,Bandar Lengeh
BDI,Bird Island
BDJ,Syamsudin Noor 
BDK,Bondoukou
BDL,Bradley 
BDM,Bandirma
BDN,Talhar
BDO,Husein Sastranegara 
BDP,Bhadrapur 
BDQ,Vadodara 
BDR,Igor I. Sikorsky Memorial
BDS,Brindisi - Salento 
BDT,Gbadolite
BDU,Bardufoss 
BDV,Moba
BDW,Bedford Downs
BDX,Broadus
BDY,State
BDZ,Baindoung
BEA,Bereina
BEB,Benbecula 
BEC,Beech
BED,Hanscom Field
BEE,Beagle Bay
BEF,Bluefields
BEG,Belgrade 
BEH,Ross Field
BEI,Beica
BEJ,Kalimarau 
BEK,Bareli
BEL,Val De Cans 
BEM,Beni Mellal 
BEN,Benina
BEO,Belmont
BEP,Bellary
BEQ,Honington
BER,Berlin 
BES,Brest Bretagne 
BET,Bethel 
BEU,Bedourie
BEV,Beer Sheba
BEW,Beira 
BEX,Benson RAF Station
BEY,Beyrouth
BEZ,Beru
BFA,Bahia Negra
BFB,Blue Fox Bay
BFC,Bloomfield
BFD,Bradford 
BFE,Bielefeld
BFF,Western Nebraska Regional 
BFG,Bullfrog Basin
BFH,Bacacheri
BFI,Boeing Field 
BFJ,Bijie 
BFK,Buffalo Municipal 
BFL,Meadows Field 
BFM,Mobile Downtown 
BFN,Bram Fischer 
BFO,Buffalo Range
BFP,Beaver Falls
BFQ,Bahia Pinas
BFR,Virgil I Grissom Municipalcipal
BFS,Belfast 
BFT,County
BFU,Bengbu
BFV,Buri Ram 
BFW,Sidi Belabbes
BFX,Bafoussam
BGA,Bucaramanga 
BGB,Booue
BGC,Braganca 
BGD,Borger
BGE,Decatur County
BGF,Bangui 
BGG,Bingol 
BGH,Abbaye
BGI,Grantley Adams 
BGJ,Borgarfjordur Eystri
BGK,Big Creek
BGL,Baglung
BGM,Greater Binghamton 
BGN,Belaya Gora 
BGO,Bergen 
BGP,Bongo
BGQ,Big Lake
BGR,Bangor 
BGS,Webb AFB
BGT,Bagdad
BGU,Bangassou
BGV,Bento Goncalves
BGW,Baghdad 
BGX, Cmdt. Gustavo Kraemer
BGY,Orio al Serio 
BGZ,Braga
BHA,Bahia De Caraquez
BHB,Bar Harbor 
BHC,Bhurban Heliport
BHD,George Best Belfast City 
BHE,Woodbourne 
BHF,Bahia Cupica
BHG,Brus Laguna
BHH,Bisha 
BHI,Comandante 
BHJ,Rudra Mata 
BHK,Bukhara 
BHL,Bahia Angeles
BHM,Birmingham-Shuttlesworth 
BHN,Beihan
BHO,Raja Bhoj 
BHP,Bhojpur
BHQ,Broken Hill 
BHR,Bharatpur 
BHS,Raglan 
BHT,Brighton Downs
BHU,Bhavnagar 
BHV,Bahawalpur 
BHW,Bhagatanwala 
BHX,Birmingham 
BHY,Beihai Fucheng 
BIA,Bastia 
BIB,Baidoa
BIC,Belle Ile
BID,Block Island
BIE,Beatrice
BIF,Biggs AAF
BIG,Intermediate Field
BIH,Bishop
BII,Enyu Airfield
BIJ,Biliau
BIK,Mokmer 
BIL,Billings Logan 
BIM,Bimini 
BIN,Bamiyan
BIO,Bilbao 
BIP,Bulimba
BIQ,Biarritz
BIR,Biratnagar 
BIS,Bismarck 
BIT,Baitadi
BIU,Bildudalur
BIV,Bria
BIW,Billiluna
BIX,Keesler AFB
BIY,Bisho
BIZ,Bimin
BJA,Bejaia 
BJB,Bojnord
BJC,Jeffco
BJD,Bakkafjordur
BJE,Baleela
BJF,Batsfjord 
BJG,Bolaang
BJH,Bajhang
BJI,Bemidji 
BJJ,Wayne County
BJK,Benjina
BJL,Yundum 
BJM,Bujumbura 
BJN,Bajone
BJO,Bermejo
BJP,Braganca Paulista
BJQ,Bahja 
BJR,Bahar Dar 
BJT,Bentota River
BJU,Bajura 
BJV,Milas-Bodrum 
BJW,Bajawa Soa 
BJX,Guanajuato 
BJY,Batajnica
BJZ,Badajoz 
BKA,Bykovo
BKB,Bikaner
BKC,Buckland 
BKD,Stephens County
BKE,Baker
BKF,Lake Brooks SPB
BKG,Branson
BKH,Barking Sands PMRF
BKI,Kota Kinabalu 
BKJ,Boke
BKK,Bangkok 
BKL,Burke Lakefront 
BKM,Bakalalan
BKN,Balkanabat 
BKO,Bamako-Senou 
BKP,Barkly Downs
BKQ,Blackall 
BKR,Bokoro
BKS,Fatmawati Soekarno 
BKT,Blackstone AAF
BKU,Betioky
BKV,Bailing 
BKW,Beckley 
BKX,Brookings
BKY,Kavumu
BKZ,Bukoba 
BLA,General Jose Antonio Anzoategui 
BLB,Panama Pacifico 
BLC,Bamenda
BLD,Boulder City
BLE,Dala 
BLF,Princeton
BLG,Belaga
BLH,Blythe
BLI,Bellingham 
BLJ,Batna 
BLK,Blackpool 
BLL,Billund 
BLM,Monmouth Executive 
BLN,Benalla
BLO,Blonduos
BLP,Bellavista
BLQ,Bologne
BLR,Kempegowda 
BLS,Bollon
BLT,Blackwater
BLU,Blue Canyon
BLV,Belleville
BLW,Bellows Field
BLX,Belluno
BLY,Belmullet
BLZ,Chileka 
BMA,Bromma 
BMB,Bumba
BMC,Brigham City
BMD,Belo
BME,Broome 
BMF,Bakouma
BMG,Bloomington
BMH,Bomai
BMI,Central Illinois Regional 
BMJ,Baramita
BMK,Borkum
BML,Berlin Municipal 
BMM,Bitam
BMN,Bamerny
BMO,Bhamo
BMP,Brampton Island
BMQ,Bamburi
BMR,Baltrum
BMS,Brumado
BMT,Beaumont Municipalcipal
BMU,Sultan Muhammad Salahuddin 
BMV,Phung-Duc 
BMW,Bordj Badji Mokhtar
BMX,Big Mountain
BMY,Belep Island
BMZ,Bamu
BNA,Nashville 
BNB,Boende
BNC,Beni
BND,Bandar Abbas 
BNE,Brisbane 
BNF,Warm Spring Bay SPB
BNG,Banning
BNH,Barnes
BNI,Benin City 
BNK,Ballina Byron 
BNL,Barnwell Regional
BNM,Bodinumu
BNN,Bronnoysund  Bronnoy
BNO,Burns
BNP,Bannu
BNQ,Baganga
BNR,Banfora
BNS,Barinas
BNT,Bundi
BNU,Blumenau
BNV,Boana
BNW,Boone
BNX,Banja Luka 
BNY,Bellona
BNZ,Banz
BOA,Boma
BOB,Motu Mute 
BOC,Bocas Del Toro
BOD,Bordeaux 
BOE,Boundji
BOF,Bolling AFB
BOG,Bogota 
BOH,Bournemouth 
BOI,Boise Air Terminal (Gowen Field)
BOJ,Bourgas 
BOK,Brookings State
BOL,Ballykelly
BOM,Mumbai 
BON,Flamingo 
BOO,Bodo 
BOP,Bouar
BOQ,Boku
BOS,Logan 
BOT,Boset
BOU,Bourges
BOV,Boang
BOW,Bartow
BOX,Borroloola
BOY,Borgo
BOZ,Bozoum
BPA,Grumman
BPB,Boridi
BPC,Bamenda
BPD,Bapi
BPE,Qinhuangdao Beidaihe 
BPF,Batuna Aerodrome
BPG,Barra Do Garcas
BPH,Bislig
BPI,Big Piney-marbleton
BPK,Biangabip
BPL,Bole 
BPM,Begumpet
BPN,Sultan Aji Muhamad Sulaiman 
BPS,Porto Seguro 
BPT,Jefferson County 
BPU,Beppu
BPX,Bangda 
BPY,Besalampy
BQA,Baler
BQB,Bussellton Regional 
BQC,Gare d'autocars de Sainte-Foy
BQE,Bubaque
BQG,Bogorodskoye
BQH,Biggin Hill
BQI,Bagani
BQJ,Batagay
BQK,Glynco Jetport
BQL,Boulia
BQN,Rafael Hernandez 
BQO,Bouna
BQQ,Barra
BQS,Blagoveschensk 
BQT,Brest 
BQU,J. F. Mitchell
BQV,Bartlett SPB
BQW,Balgo Hills
BRA,Barreiras 
BRB,Barreirinhas
BRC,San Carlos de Bariloche 
BRD,Crow Wing County 
BRE,Bremen 
BRF,Bradford
BRG,Municipal
BRH,Brahman
BRI,Palese 
BRJ,Bright
BRK,Bourke
BRL,Burlington 
BRM,Barquisimeto 
BRN,Bern 
BRO,South Padre Island 
BRP,Biaru
BRQ,Turany 
BRR,North Bay 
BRS,Bristol 
BRT,Bathurst Island
BRU,Bruxelles 
BRV,Bremerhaven
BRW,Wiley Post-Will Rogers Memorial 
BRX,Barahona
BRY,Samuels Field
BRZ,Borotou
BSA,Bossaso
BSB,Brasilia 
BSC,Bahia Solano
BSD,Baoshan 
BSE,Sematan
BSF,Bradshaw AAF
BSG,Bata 
BSH,Brighton
BSI,Blairsville
BSJ,Bairnsdale
BSK,Biskra 
BSL,Bâle Mulhouse
BSM,Bishe-kola
BSN,Bossangoa
BSO,Basco 
BSP,Bensbach
BSQ,Bisbee Municipal 
BSR,Basra 
BSS,Balsas
BST,Bost
BSU,Basankusu
BSV,Besakoa
BSW,Boswell Bay
BSX,Bassein
BSY,Bardera
BSZ,Bartletts
BTA,Yaoundi©
BTB,Betou
BTC,Batticaloa
BTD,Brunette Downs
BTE,Bonthe
BTF,Salt Lake Skypark
BTG,Batangafo
BTH,Hang Nadim 
BTI,Barter Island 
BTJ,Sultan Iskandar Muda 
BTK,Bratsk 
BTL,WK Kellogg Regional
BTM,Butte 
BTN,Bennettsville
BTO,Botopasie
BTP,Butler County - Kenny Scholter Field
BTQ,Butare
BTR,Baton Rouge Metropolitan 
BTS,Bratislava 
BTT,Bettles
BTU,Bintulu 
BTV,Burlington 
BTW,Batu Licin
BTX,Betoota
BTY,Beatty
BTZ,Yala Betong 
BUA,Buka
BUB,Municipal
BUC,Burketown
BUD,Budapest
BUF,Buffalo Niagara 
BUG,Gen V Deslandes
BUI,Bokondini
BUJ,Ain Eddis
BUK,Albuq
BUL,Bulolo
BUM,Butler
BUN,Buenaventura
BUO,Burao
BUP,Bhatinda 
BUQ,Bulawayo 
BUR,Bob Hope 
BUS,Batumi 
BUT,Bathpalathang 
BUU,Muara Bungo 
BUV,Bella Union
BUW,Baubau 
BUX,Bunia
BUY,Bunbury
BUZ,Bushehr 
BVA,Beauvais-Tille 
BVB,Boa Vista 
BVC,Rabil 
BVD,Sea Port
BVE,Laroche 
BVF,Dama
BVG,Berlevag 
BVH,Vilhena 
BVI,Birdsville
BVJ,Bovanenkovo 
BVK,Huacaraje
BVL,Baures
BVM,Belmonte
BVO,Bartlesville
BVP,Bolovip
BVR,Esperadinha
BVS,Breves
BVU,Beluga
BVV,Burevestnik AFB
BVW,Batavia Downs
BVX,Municipal
BVY,Beverly Municipal 
BVZ,Beverley Springs
BWA,Bhairawa 
BWB,Barrow Island
BWC,Brawley
BWD,Brownwood
BWE,Braunschweig
BWF,Walney Island
BWG,Warren County
BWH,Butterworth
BWI,Baltimore/Wash Thurgood Marshall 
BWJ,Bawan
BWK,Brac
BWL,Blackwell
BWM,Bowman
BWN,Brunei 
BWO,Balakovo
BWP,Bewani
BWQ,Brewarrina
BWS,Blaine
BWT,Burnie Wynyard 
BWU,Sydney
BWW,Las Brujas 
BWX,Bandar Udara Internasional Banyuwangi
BXA,George R Carr
BXB,Babo
BXD,Bade
BXE,Bakel
BXF,Belburn
BXG,Bendigo
BXH,Balhash
BXI,Boundiali
BXJ,Burundai
BXK,Buckeye Municipal
BXL,Blue Lagoon
BXM,Batom
BXN,Imsik
BXO,Buochs
BXP,Biala Podlaska
BXR,Bam
BXS,Borrego Springs
BXT,Bontang
BXU,Butuan 
BXV,Breiddalsvik
BXW,Harun Thohir 
BXX,Borama
BXY,Baikonur Krayniy 
BXZ,Bunsil
BYA,Boundary
BYB,Dibaa
BYC,Yacuiba
BYD,Beidah
BYF,Albert-Bray 
BYG,Municipal
BYH,Arkansas 
BYI,Rupert
BYJ,Beja
BYK,Bouake
BYL,Bella Yella
BYM,C.M. de Cespedes
BYN,Bayankhongor
BYO,Bonito 
BYP,Barimunya 
BYQ,Bunyu
BYR,Laeso 
BYS,Bicycle Lake AAF
BYT,Bantry
BYU,Bindlacher-Berg
BYV,Beira Lake SPB
BYW,Blakely Island
BYX,Baniyala
BZA,San Pedro
BZB,Bazaruto Island
BZC,Buzios
BZD,Balranald
BZE,Philip S.W. Goldson 
BZF,Benton Field
BZG,Bydgoszcz 
BZH,Bumi Hills
BZI,Balikesir
BZK,Bryansk 
BZL,Barisal 
BZM,Bemolanga 
BZN,Bozeman Yellowstone 
BZO,Bolzano
BZP,Bizant
BZR,Beziers
BZS,Buzzards Pt S
BZT,Eagle Air Park
BZU,Buta
BZV,Maya Maya 
BZX,Bazhong Enyang 
BZY,Beltsy 
BZZ,Raf Brize Norton
CAA,Catacamas
CAB,Cabinda 
CAC,Cascavel 
CAD,Cadillac
CAE,Columbia Metropolitan 
CAF,Carauari
CAG,Cagliari
CAH,Kamau
CAI,Le Caire 
CAJ,Canaima
CAK,Akron-Canton 
CAL,Machrihanish 
CAM,Camiri
CAN,Guangzhou Baiyun 
CAO,Clayton
CAP,Cap Haitien 
CAQ,Caucasia
CAR,Municipal
CAS,Anfa
CAT,Cascais Municipal Aerodrome
CAU,Caruaru
CAV,Cazombo
CAW,Bartolomeu Lisandro 
CAX,Carlisle
CAY,Felix Eboue 
CAZ,Cobar
CBA,Corner Bay
CBB,J Wilsterman 
CBC,Cherrabun
CBD,Car Nicobar
CBE,Greater Cumberland Regional
CBF,Municipal
CBG,Cambridge 
CBH,Leger
CBI,Cape Barren Island
CBJ,Cabo Rojo
CBK,Municipal
CBL,Ciudad Bolivar
CBM,Columbus AFB
CBN,Penggung
CBO,Awang 
CBP,Coimbra
CBQ,Calabar 
CBR,Canberra 
CBS,Oro Negro
CBT,Catumbela 
CBU,Cottbus
CBV,Coban
CBW,Campo Mourao
CBX,Condobolin
CBY,Canobie
CBZ,Cabin Creek
CCA,Chaffee AFB
CCB,Cable 
CCC,Jardines del Rey 
CCD,Century City
CCE,Grand Case
CCF,Carcassonne 
CCG,Crane County 
CCH,Chile Chico
CCI,Concordia
CCJ,Calicut 
CCK,Cocos Islands 
CCL,Chinchilla
CCM,Criciuma
CCN,Chakcharan
CCO,Carimagua
CCP,Carriel Sur 
CCQ,Cachoeira
CCR,Buchanan Field
CCS,Simon Bolivar 
CCT,Colonia Catriel
CCU,Calcutta
